p_año;p_ciudad;provincia;canton;parroquia;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos;pobreza_multidimensional;pobreza_extrema_multidimensional;necesidades_basicas_insatisfechas
2020;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;62,678675;48,036125;15,532275;84,467725;71,814625;23,44015;36,0552;26,092875;3,270575;16,949225;17,925125;16,672925;18,654375;29,5039;0,6218;11,812925;81,8914;24,251725;10,156625;5,94425;1,01955;4,5264
2020;180150;TUNGURAHUA;AMBATO;AMBATO;66,6674;50,785175;8,86085;91,13915;69,009875;26,62865;32,631825;30,54645;7,5009;19,8098;21,527675;19,191675;13,5758;15,746;3,082875;18,578825;84,12105;23,963275;8,582175;8,04515;0,92375;3,87955
2021;10150;AZUAY;CUENCA;CUENCA;64,80095833;49,19920833;7,077166667;92,92283333;69,87254167;24,35741667;51,74473333;16,62625;6,158975;17,710375;24,98209167;17,87236667;13,16536667;12,62809167;2,053358333;16,33364167;81,39898333;8,822675;2,47375;17,1376;1,9044;8,0745
2021;70150;EL ORO;MACHALA;MACHALA;64,310825;46,45996667;8,278241667;91,72175833;54,79695833;36,48315833;41,5013;23,77086667;5,415533333;20,764175;36,37466667;22,11524167;21,62118333;14,68226667;2,450658333;8,483308333;76,24825833;17,79970833;4,54105;30,3264;4,5332;34,3255
2021;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;63,01925;45,30316667;4,331108333;95,66889167;46,80449167;45,14020833;42,37560833;22,835525;4,273783333;24,45424167;27,30050833;18,31026667;21,19555833;9,784841667;0,374533333;14,31150833;75,040175;19,308275;4,94305;21,4416;5,0511;27,5641
2021;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;62,75555833;47,94740833;11,78290833;88,21709167;67,74579167;25,16095833;45,44325833;21,31840833;3,801716667;16,33585833;18,63908333;16,00454167;18,62829167;20,146375;0,499383333;12,78068333;80,29149167;17,62809167;6,344275;13,3205;3,8513;6,0012
2021;180150;TUNGURAHUA;AMBATO;AMBATO;67,72833333;52,31746667;6,35475;93,64525;69,56715833;25,77410833;38,75185;23,19643333;9,688416667;21,18341667;22,98079167;16,263075;11,90980833;11,11328333;3,308866667;19,064725;82,29255833;15,954575;4,991683333;9,5071;1,0413;4,5466
2022;10150;AZUAY;CUENCA;CUENCA;65,98328333;50,40321667;4,88505;95,11495;70,2992;26,254325;55,57533333;16,50681667;5,689725;17,26755;23,36603333;17,46745;11,87525;9,429241667;1,5438;16,55141667;82,31828333;4,118908333;0,912166667;8,880427273;0,896163636;5,029163636
2022;70150;EL ORO;MACHALA;MACHALA;65,30533333;47,88885;7,449108333;92,55089167;56,842875;38,41083333;43,35658333;24,64863333;4,3232;20,2042;34,07320833;22,066575;20,50716667;13,79800833;1,365675;9,523291667;75,3556;11,32003333;2,250808333;20,04144545;2,463627273;19,81385455
2022;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;62,72286667;44,92145833;3,877366667;96,12263333;48,79163333;45,11119167;44,26710833;21,04140833;3,291575;27,07694167;30,09484167;23,62445;20,70490833;9,351166667;0,317625;15,200675;75,78976667;14,96386667;3,827775;21,60062727;3,527336364;26,25241818
2022;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;63,19659167;48,5891;8,996275;91,003725;69,35519167;24,98386667;49,8557;20,964175;3,216941667;16,07129167;19,02973333;14,56174167;18,24781667;16,52148333;0,269216667;13,29104167;80,45254167;14,19699167;4,924316667;7,975881818;0,445545455;6,7392
2022;180150;TUNGURAHUA;AMBATO;AMBATO;70,434125;54,88479167;4,580683333;95,41931667;68,8932;27,34295833;40,527575;20,562525;9,797383333;24,061125;27,97111667;19,88445;12,17005833;8,861491667;4,271083333;18,34751667;80,268125;12,16058333;4,158316667;8,747309091;0,569890909;5,109145455
2023;10150;AZUAY;CUENCA;CUENCA;66,20160833;50,39493333;4,331108333;95,66889167;71,07734167;25,29296667;58,19363333;13,51106667;5,095525;18,868675;25,590175;19,66694167;12,010675;7,67585;0,950425;15,22101667;80,70835833;3,974925;0,841625;10,61905833;0,945666667;5,149566667
2023;70150;EL ORO;MACHALA;MACHALA;64,84555833;47,6586;6,369133333;93,63086667;57,26251667;37,331125;44,67433333;24,61275;3,859258333;20,47390833;29,87764167;18,55635833;21,510175;12,324025;0,742241667;7,999925;74,66395833;11,00989167;2,201;18,3479;2,107441667;20,92725833
2023;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;60,58065;43,702025;3,376216667;96,62378333;50,01399167;45,870525;46,35084167;16,84499167;3,084383333;29,93855833;23,54074167;16,46396667;21,81543333;8,3708;0,239516667;14,67791667;75,066675;15,08015833;2,700108333;21,21451667;2,695533333;23,53008333
